style,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Virgin Islands (U.S.),0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0,0,0,0,0,0,0,0,0,0,0,0
Palau,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,0,0,0,0,0
Bonaire,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0
Australia,5,5,7,5,3,6,1,0,2,10,4,8
Martinique,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0
Tibet,0,0,0,0,0,0,0,0,0,0,0,0
Congo,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0,8,0,7,4,6,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0,0,0,0,5,0,8
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,7,6,4,2,0,7,0,0,5,4,4
Abkhazia,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde Islands,0,0,0,0,0,0,0,0,0,0,0,0
East Timor,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0
Austria,13,8,5,5,1,0,9,5,4,0,1,10
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,10,3,4,6,5,5,3,0,0,0,0,3
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,6,6,7,4,4,22,26,14,28,15,11,11
Fiji Islands,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,14,20,13,10,3,4,2,3,0,5,0,0
Micronesia,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,7,29,28,6,25,19,5,7,5,1,1,13
Peru,0,0,0,0,0,0,0,0,0,0,0,0
Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,3,8,5,7,3,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,6,4,13,16,16,18,0,5,2,12,40,30
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0
Poland,7,4,1,0,1,0,0,2,6,0,0,4
Libya,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,22,20,8,3,6,3,36,21,9,7,7,22
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0
Norway,19,47,41,72,110,115,98,93,85,81,46,55
"United States, Wisconsin",0,4,8,2,0,0,0,0,0,0,0,0
"United States, Georgia",8,16,0,12,6,0,0,2,0,5,0,0
"United States, Arkansas",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Louisiana",0,0,0,0,0,0,0,0,0,0,0,0
"United States, West Virginia",0,0,0,0,0,0,0,0,0,0,0,0
"United States, California",79,104,129,178,134,152,128,136,117,101,89,70
"United States, Washington",16,2,4,15,0,3,2,0,8,4,2,2
"United States, Massachusetts",2,7,3,7,3,11,32,8,18,38,75,86
"United States, New Jersey",5,0,0,0,1,0,0,0,0,0,12,12
"United States, New York",28,54,34,40,59,64,60,47,37,41,29,30
"United States, Colorado",43,53,57,43,40,41,24,23,0,7,21,25
"United States, Maryland",24,18,34,25,39,35,38,36,26,9,24,5
"United States, Arizona",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Pennsylvania",7,22,19,20,4,11,3,0,1,1,0,38
"United States, Indiana",1,6,1,0,11,13,20,35,17,14,7,10
"United States, Montana",0,0,0,0,0,0,0,0,0,0,0,0
"United States, South Dakota",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Tennessee",0,0,0,0,0,0,0,0,0,0,0,4
"United States, Mississippi",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Virginia",12,0,0,5,0,0,4,0,0,0,13,24
"United States, Missouri",0,0,0,0,0,0,0,0,0,0,10,4
"United States, Alabama",0,0,0,0,0,0,0,0,0,0,0,0
"United States, New Hampshire",14,18,7,5,10,16,0,3,13,18,46,3
"United States, Delaware",8,4,2,6,0,0,1,0,0,0,0,0
"United States, Iowa",0,0,0,0,0,0,0,14,48,56,62,19
"United States, Minnesota",0,0,10,14,19,21,15,26,12,35,16,0
"United States, Kentucky",0,0,0,0,8,0,0,0,0,0,0,0
"United States, North Carolina",6,24,15,10,4,0,3,0,2,23,0,6
"United States, Nebraska",0,0,0,0,0,1,0,1,0,0,0,0
"United States, Wyoming",0,0,0,0,0,1,0,0,0,0,15,9
"United States, Vermont",0,0,0,0,0,40,58,86,105,112,95,96
"United States, New Mexico",0,0,0,0,0,0,7,0,0,7,0,0
"United States, Alaska",22,12,17,16,19,36,77,98,54,44,31,10
"United States, Rhode Island",0,0,0,0,0,0,0,0,0,2,1,0
"United States, Kansas",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Florida",0,0,0,0,0,0,0,14,33,12,43,47
"United States, Idaho",0,0,0,0,12,7,0,0,0,0,0,0
"United States, Maine",0,3,0,5,0,9,8,12,13,20,21,2
"United States, Ohio",18,30,53,58,75,46,94,65,85,48,64,88
"United States, Michigan",19,20,44,59,62,60,73,25,54,45,34,19
"United States, North Dakota",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Nevada",0,0,0,0,0,0,0,0,0,0,0,0
"United States, Oregon",65,29,86,81,80,77,70,47,78,44,37,30
"United States, Hawaii",0,0,0,0,0,0,0,8,5,0,0,0
"United States, Connecticut",7,6,0,0,0,0,0,0,0,0,2,0
"United States, Texas",0,0,0,4,2,2,6,15,8,13,3,4
"United States, Illinois",7,21,8,22,40,36,59,46,70,35,43,30
"United States, South Carolina",0,0,0,0,0,0,19,58,43,49,68,40
"United States, Oklahoma",0,0,0,0,0,0,0,47,101,137,120,107
"United States, Utah",0,0,0,0,0,19,9,16,8,19,2,1
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,61,62,47,44,44,12,21,46,14,24,10,18
Dominica,0,0,0,0,0,0,0,0,0,0,0,0
England,79,86,93,71,78,56,49,41,30,27,13,24
Colombia,0,0,0,0,0,0,0,0,0,0,0,0
South Korea,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,8,13,12,10,10,10,4,6,6,15
Macau,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,179,178,182,130,130,136,113,87,73,86,70,62
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,0,0,0,0,0,0,0,0,0,0,0,0
Turkish Republic of Cyprus,0,0,0,0,0,0,0,0,0,0,0,0
France,16,14,24,9,10,12,4,0,0,0,0,4
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,14,32
Gambia,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0
Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom, England",0,0,0,0,0,0,0,0,0,0,0,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0
"United States, United States",0,0,0,0,0,0,0,0,0,0,0,0
"United States</a> | <a href=""http://maps.google.com/maps?oi=map&q=%2C+US"" target=""_blank"">map",0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom, Wales",0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom, Scotland",0,0,0,0,0,0,0,0,0,0,0,0
