location,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"United States, Alabama","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Alabama","United States, Alabama"
"United States, Alaska",Belgium,Belgium,Belgium,"United States, Alaska","United States, Alaska","United States, Alaska","United States, Alaska","United States, Alaska","United States, Alaska","United States, Alaska","United States, Alaska","United States, Alaska"
"United States, Arizona","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, Arkansas",England,England,England,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado","United States, Colorado"
"United States, Connecticut","United States, Massachusetts","United States, New York","United States, New York","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Connecticut","United States, Massachusetts","United States, Connecticut"
"United States, Delaware","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, Florida","United States, California",Belgium,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Florida","United States, Florida","United States, Florida","United States, Florida"
"United States, Georgia","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Georgia","United States, Georgia","United States, Georgia","United States, Georgia"
"United States, Hawaii","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, Idaho","United States, California","United States, Oregon","United States, California","United States, California","United States, California","United States, California",Germany,"United States, California","United States, Oregon","United States, Idaho","United States, Idaho","United States, Idaho"
"United States, Illinois","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Illinois","United States, Illinois","United States, Illinois","United States, Illinois","United States, Illinois","United States, Illinois"
"United States, Indiana","United States, California","United States, California",Germany,"United States, California",Germany,"United States, Indiana","United States, Indiana","United States, Indiana","United States, Indiana","United States, Indiana","United States, Indiana","United States, Indiana"
"United States, Iowa","United States, California","United States, Wisconsin","United States, California","United States, California",Belgium,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, Iowa","United States, Iowa"
"United States, Kansas","United States, Colorado","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Colorado","United States, Colorado","United States, California","United States, California","United States, California","United States, California"
"United States, Kentucky","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Ohio","United States, Kentucky","United States, Kentucky"
"United States, Louisiana",Germany,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Louisiana","United States, Louisiana"
"United States, Maine","United States, Maine","United States, Maine","United States, Maine","United States, Maine","United States, California","United States, Maine","United States, Maine","United States, Maine","United States, Maine","United States, Maine","United States, Maine","United States, Maine"
"United States, Maryland","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Maryland","United States, Maryland"
"United States, Massachusetts","United States, Massachusetts","United States, Massachusetts","United States, California","United States, California","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts"
"United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan","United States, Michigan"
"United States, Minnesota","United States, Minnesota","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Minnesota","United States, Minnesota","United States, Minnesota","United States, Minnesota","United States, Minnesota","United States, Minnesota","United States, Minnesota","United States, Minnesota"
"United States, Mississippi","United States, Wisconsin",Germany,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, Missouri","United States, Missouri","United States, California","United States, California","United States, California","United States, Missouri","United States, Missouri","United States, Missouri","United States, Missouri","United States, Missouri","United States, Missouri","United States, Missouri","United States, Missouri"
"United States, Montana","United States, Colorado","United States, Colorado","United States, California","United States, Montana","United States, California","United States, California","United States, Colorado","United States, Montana","United States, Montana","United States, Montana","United States, Montana","United States, Montana"
"United States, Nebraska","United States, California","United States, Colorado",Belgium,"United States, California","United States, Colorado","United States, California","United States, Colorado","United States, Colorado","United States, California","United States, Nebraska","United States, Nebraska","United States, Nebraska"
"United States, Nevada","United States, California","United States, California","United States, California","United States, California",Belgium,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California"
"United States, New Hampshire","United States, New Hampshire","United States, Massachusetts","United States, New Hampshire","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, New Hampshire","United States, Massachusetts","United States, Massachusetts"
"United States, New Jersey","United States, Pennsylvania","United States, New York","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, New Jersey","United States, New Jersey"
"United States, New Mexico","United States, California","United States, California","United States, California",Germany,"United States, California","United States, California","United States, Colorado","United States, California","United States, California","United States, California","United States, California","United States, New Mexico"
"United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York","United States, New York"
"United States, North Carolina","United States, California","United States, California","United States, California","United States, California","United States, California","United States, North Carolina","United States, North Carolina","United States, California","United States, North Carolina","United States, North Carolina","United States, North Carolina","United States, North Carolina"
"United States, North Dakota",Belgium,Belgium,Belgium,Germany,"United States, Colorado","United States, Minnesota","United States, Colorado","United States, California","United States, Colorado","United States, California","United States, California","United States, Colorado"
"United States, Ohio","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Ohio","United States, Ohio","United States, Ohio","United States, Ohio","United States, Ohio"
"United States, Oklahoma",Germany,"United States, California","United States, Colorado","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Oklahoma","United States, Oklahoma","United States, Oklahoma","United States, Oklahoma"
"United States, Oregon","United States, California","United States, Oregon","United States, California","United States, Oregon","United States, Oregon","United States, Oregon","United States, Oregon","United States, Oregon","United States, Oregon","United States, Oregon","United States, Oregon","United States, Oregon"
"United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania","United States, Pennsylvania"
"United States, Rhode Island","United States, Massachusetts","United States, Massachusetts","United States, California","United States, Massachusetts","United States, Massachusetts","United States, California","United States, California","United States, California","United States, California","United States, Massachusetts","United States, Massachusetts","United States, Massachusetts"
"United States, South Carolina","United States, California",Germany,"United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, North Carolina"
"United States, Tennessee","United States, California","United States, California","United States, California","United States, New York","United States, New York","United States, California","United States, California","United States, California","United States, Tennessee","United States, Tennessee","United States, Tennessee","United States, Tennessee"
"United States, Texas","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Texas","United States, Texas","United States, Texas","United States, Texas","United States, Texas","United States, Texas","United States, Texas"
"United States, Utah","United States, California","United States, Oregon","United States, Utah","United States, California","United States, Utah","United States, Utah","United States, Utah","United States, California","United States, California","United States, Utah","United States, Utah","United States, Utah"
"United States, Vermont","United States, California","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont","United States, Vermont"
"United States, Virginia","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Virginia","United States, Virginia","United States, Virginia","United States, Virginia"
"United States, Washington","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Washington","United States, Washington","United States, Washington"
"United States, West Virginia","United States, Pennsylvania","United States, Pennsylvania","United States, California","United States, New York","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Ohio"
"United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin","United States, Wisconsin"
"United States, Wyoming","United States, Colorado","United States, Colorado","United States, Missouri","United States, California","United States, Colorado","United States, California","United States, California","United States, California","United States, California","United States, California","United States, Colorado","United States, Colorado"
